status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned
,"Zorn Automotive","48 Racine Rd, Etobicoke, ON M9W 2Z3",https://zornauto.aaro.ca/,4167422474,,4.9,24,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Auto Repair Garages",yellowpages-ca,1,0,0
,"Yogen Fruz (Square One)","100 City Centre Drive 2-KD6, Mississauga, ON, Canada L5B 2C9",https://yogenfruz.com/,6473881105,info@yogenfruz.com,3.9,63,,,5,20,43,16,43,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/SquareOneYogenFruz/,https://twitter.com/YogenFruz,https://www.linkedin.com/company/yogen-fruz,,https://www.instagram.com/yogenfruz/,"Frozen Yogurt Shop",facebook,1,0,0
,"Xtreme Customs","360 Royal York Rd, Etobicoke, ON M8Y 2R2",https://xtremecustoms.com/,4162010968,info@xtremecustoms.com,3.5,16,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Auto Body Repair & Painting Shops,Auto Repair Garages",yellowpages-ca,1,0,0
,"Weston M.B. Collision","108 Toryork Dr, North York, ON M9L 1X6",https://www.westonmb.com/,6473622175,sales@d2cmedia.ca,4.4,135,,,,,303,5,309,1,1,0,0,0,0,0,1,1,0,,,,https://www.youtube.com/t/terms,,"Auto Body Repair & Painting Shops,Auto Repair Garages",yellowpages-ca,1,0,0
,"Volvo Cars Toronto Parts Department","43 Eastern Ave, Toronto, ON M5A 1H1, Canada",https://www.volvocarstorontoparts.ca/,14168681890,,4,21,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Auto parts store",google,1,0,0
,"Urgent Care Auto Repair","60 Penn Dr, North York, ON M9L 2A9",,4169137879,urgentcareautos@gmail.com,4.8,193,,,5,8,180,6,180,0,0,0,0,0,0,0,0,0,0,https://www.facebook.com/urgentcareautos/,,https://www.linkedin.com/company/gyi,,,"Auto Repair Garages",yellowpages-ca,,0,0
,"Toronto Mobile Mechanics",,https://www.torontomobilemechanic.ca/,16472996077,info@torontomobilemechanic.ca,5,10,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Car repair and maintenance service",google,1,0,0
,"Top Canada Auto Inc.","448 Birchmount Rd Unit 4, Scarborough, ON M1K 1M6, Canada",https://www.topcanadaauto.com/,14375616140,topcanadaauto@gmail.com,5,5,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Auto repair shop",google,1,0,0
,"TireMag Toronto","141 Queen St E, Toronto, ON M5C 1S1, Canada",https://www.tiremag.ca/,19057388846,sales@tiremag.ca,4.8,26,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tire shop",google,1,0,0
,"NAPA AUTOPRO Tabangi Service Centre","1074 Westport Crescent, Mississauga, ON L5T 1G1",https://www.tabangiservicecentre.com/,9056708100,service@tabangimotors.com,,,,,,,,,80,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/p/Tabangi-Service-Centre-100063968535175/,,,,https://www.instagram.com/tabangiservicecentre/,"Car Repair & Service,Employment Agencies",yellowpages-ca,1,0,0
,"Skyview Auto Glass Toronto","436 University Ave, Toronto, ON M5G 2K8, Canada",https://www.skyview-autoglass.com/,16477990183,info@skyview-autoglass.com,5,4,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Auto glass shop",google,1,0,0
,"SIXT Rent A Car","Wellington Tower, 200 Wellington St W, CRU 20 Metrocentre, Toronto, ON M5V 3C7, Canada",https://www.sixt.ca/car-rental/canada/toronto/toronto-downtown/%3Futm_source%3Dgoogle_business%26utm_medium%3Dorganic%26utm_campaign%3DListings%26c1%3DCA%26c2%3Dtoronto%26c3%3Dtoronto-downtown,16473325564,dnsadmin@sixt.com,3.8,197,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/sixt/?originalSubdomain=de,,https://www.instagram.com/sixt/,"Car rental agency",google,1,0,0
,"Serpa Certified Collision Repair Centre","20 Cowdray Crt, Scarborough, ON M1S 1A1",https://www.serpacollisioncentre.ca/,4163672655,info@serpacollisioncentre.ca,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Auto Body Repair & Painting Shops,New Car Dealers",yellowpages-ca,1,0,0
,"Sabah Auto Repair &amp; New Car Sales","175 Toryork Dr, North York, ON M9L 2Y7",https://www.selectautocentre.ca/,4167430707,selectautocentre@gmail.com,,,,,,,445,166,,0,0,0,0,0,0,0,0,1,0,,,,,,"Car Repair & Service",yellowpages-ca,1,0,0
,"Rally Auto Repair","2401 St Clair Ave W, Toronto, ON M6N 1K9, Canada",http://rallyauto.ca,14167691087,service@rallyauto.ca,5,89,,,,,71,4,69,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/rally.auto.repair/,,https://www.linkedin.com/company/rally-auto-repair,,,"Auto repair shop",google,1,0,0
