status,name,address,website,phone,email,first_name,last_name,job_title,email_verified,personal_email,contact_linkedin,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned
,"Youbility Inc.","55 Harbour Square, Toronto, ON M5J 2L1, Canada",https://youbility.ca/,14376699981,info@youbility.ca,,,,,,,4.9,7,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/company/youbility-inc/?viewAsMember=true,https://www.youtube.com/embed/VhBl3dHT5SY?feature=oembed?playlist=VhBl3dHT5SY&mute=0&autoplay=0&loop=no&controls=0&start=0&end=,https://www.instagram.com/youbility_home_renovation?fbclid=IwY2xjawG9eiBleHRuA2FlbQIxMAABHZ3GxFLppvtf7Nd_nk9p7RiMTcxUZj92Fxqkcp0UDDY2RGRN4NbI8kuGnw_aem_ylj1MX1hVB4q7lJNokP4UQ,"General contractor",google,1,1,0
,"Toronto Structural Engineers","1 University Ave, Toronto, ON M5J 2P1, Canada",https://www.torontostructuralengineers.ca/,16477237364,info@torontostructuralengineers.ca,,,,,,,5,16,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/torontostructuralengineers,,https://www.linkedin.com/company/toronto-structural-engineers,,,"Structural engineer",google,1,0,0
,"Toronto Handyman","224 Millwood Rd, Toronto, ON M4S 1J7, Canada",https://www.torontohandymans.com/,16473269185,info@torontohandymans.com,,,,,,,5,50,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,Handyman/Handywoman/Handyperson,google,1,1,0
,"Time To Renovate","10 Four Seasons Pl Suite 1000, Etobicoke, ON M9B 6H7, Canada",https://www.timetorenovate.ca/,14162889988,contactus@timetorenovate.ca,,,,,,,4.9,59,,,,,604,,610,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/timetorenovate,,,https://www.youtube.com/@timetorenovate,https://www.instagram.com/timetorenovate,Contractor,google,1,0,0
,"Swords GTA Construction",,https://www.swordsreno.com/,14164505114,swordsreno@gmail.com,,,,,,,5,1,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Construction company",google,1,0,0
New,"""Honey, I am home"" Handyman Renovations Services",,https://www.superhandyman.ca/,16477408887,rondodace@gmail.com,,,,,,,4.9,11,,,,,,,378,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/renovatetoronto,,,,,Handyman/Handywoman/Handyperson,google,1,0,0
,"Strong Plumbing Inc","18 King St E, Toronto, ON M5E 1L4, Canada",https://www.strongplumbinginc.com/,14162584068,contact@strongplumbinginc.com,,,,,,,5,184,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/strong.plumbing,https://twitter.com/strong.plumbing,https://www.linkedin.com/strong.plumbing,,https://www.instagram.com/strongplumbinginc/,Plumber,google,1,0,0
,"Sosna Home Renovations","7250 Keele St, Concord ON L4K 1Z8",https://www.sosna.ca/,4168887366,contact@sosna.ca,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/ContractorYouCanCountOn/,,,https://www.youtube.com/user/SosnaInc,https://www.instagram.com/sosna_inc/,,bing,1,0,0
,"RSB Home Renovation INC.",,https://www.rsbhomerenovations.ca/,15147015932,rsbhomerenovations@hotmail.com,,,,,,,4.6,14,,,,,689924,,46,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/wix,,,,https://www.instagram.com/wix,"General contractor",google,1,1,0
,"Royal Home Improvements","2601 Matheson Blvd E, Mississauga ON L4W 5A8",https://www.royalhomeimprovements.ca/,4162364400,estimates@royalhomeimprovements.ca,,,,,,,3.8,63,,,,,452,,469,1,1,1,0,0,0,0,0,1,0,,,,,,,bing,1,0,0
,"renoWOW! - Bathroom, Kitchen & Basement Renovation Contractor Toronto","99 Yorkville Ave, Toronto ON M5R 3K5",https://www.renowow.ca/,8663521251,sam@renowow.ca,,,,,,,,,,,,,220,,249,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/people/RenoWOW/100063458054883/,https://twitter.com/renowowtoronto,https://www.linkedin.com/company/renowow-/,,https://www.instagram.com/renowow.ca/,,bing,1,0,0
,"Renovated Home","35 Brian Peck Crescent, East York, ON M4G 0A5, Canada",https://www.renovated-home.ca/,14165259343,info@renovated-home.ca,,,,,,,4.9,57,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Stucco contractor",google,1,0,0
,"Renopros Home Services",,https://www.renoproshomeservices.com/,14163021040,renopros@live.com,,,,,,,5,8,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Bathroom remodeler",google,1,0,0
,RenoDuck,"2501 Rutherford Rd #39-41, Concord, ON L4K 2N6, Canada",https://www.renoduck.com/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_term%3D2501_Rutherford%26utm_campaign%3Dgmb,16472452405,support@renoduck.com,,,,,,,4.4,61,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,https://www.youtube.com/@renoduckhomes,https://www.instagram.com/renoduckhomes,"Construction company",google,1,0,0
,"Remodel & Renovate Depot: GTA Residential and Commercial Specialists","1940 Ellesmere Rd, Scarborough, ON M1H 2V6, Canada",https://www.remodelrenovate.ca/,16478212453,gtarenovations101@gmail.com,,,,,,,5,19,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Construction company",google,1,0,0
,"Quality Restorations + Renovations Co Toronto","12 Westview Blvd, East York, ON M4B 3H8, Canada",http://qualityrestorations.ca,14164233465,qualityrestorations1@gmail.com,,,,,,,4.9,7,,,,,,,252,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/QualityRestorationsCo,https://twitter.com/doug_pearse,,,https://www.instagram.com/qualityrestorations.inc/,"Deck builder",google,1,0,0
,"Prestige Homes & Contracting Inc",,https://www.prestigehomesandcontracting.com/,14164354945,prestigehomesandcontracting.com@wix-domains.com,,,,,,,5,2,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Construction company",google,1,0,0
New,NovaEspacio,"10 Huntley St #1606, Toronto, ON M4Y 2K7, Canada",https://www.novaespacio.ca/,16473651680,contact@novaespacio.ca,,,,,,,5,4,,,,,,,3,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/novaespacio.ca,,,,https://www.instagram.com/novaespacio.ca,"Construction company",google,1,0,0
New,"Nailed It Toronto Inc.","1 Shaw St, Toronto, ON M6K 0A1, Canada",https://www.nailedittoronto.com/,16472440672,info@nailedittoronto.com,,,,,,,5,27,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,Contractor,google,1,0,0
New,"MCC Home Renovation",,https://www.mccrenovation.ca/,16477817811,mcc.h.reno@gmail.com,,,,,,,4.7,29,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Construction company",google,1,0,0
,"Maison Marble & Stone",,https://www.maisonmarbleandstone.ca/,16474081995,plyle@maisonmarbleandstone.ca,,,,,,,5,18,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Marble contractor",google,1,0,0
,"LDS Reno",,https://www.ldsreno.ca/,16474540953,info@ldsreno.ca,,,,,,,5,70,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,https://www.linkedin.com/in/lds-reno,https://www.youtube.com/@ldsreno,https://www.instagram.com/lds.reno/,Remodeler,google,1,1,0
,"Lampert Renovations","119 Miranda Ave, York, ON M6B 3W8, Canada",https://www.lampertrenovations.ca/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing,14167874925,info@lampertrenovations.ca,,,,,,,4.8,85,,,,,140,4,140,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/lampertrenovations,https://twitter.com/LampertRenos,,https://www.youtube.com/watch?v=remcgZl33hM,https://www.instagram.com/lampertrenovations/,"Bathroom remodeler",google,1,0,0
,"KVL Home Service - Renovation Toronto GTA",,https://www.kvlhomeservice.ca/,14164179079,kvlhomeservice@gmail.com,,,,,,,5,13,,,,,,,385,0,0,0,0,0,0,0,0,0,0,,,,,,"Bathroom remodeler",google,1,0,0
