status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned
New,"Wildlife Shield",,https://www.wildlifeshield.ca/,16475603988,info@wildlifeshield.ca,4.9,78,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/company/wildlife-shield,https://www.youtube.com/channel/UC5phLzckdpcOE4rIXjKY-vA,,"Animal control service",google,1,0,0
,"TruTech Pest & Wildlife Control Inc.",,https://www.trutechpestandwildlife.ca/,6472897378,info@trutechpestandwildlife.ca,,,,,,,228,,235,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/TruTechPestAndWildlifeControl/,,https://www.linkedin.com/company/trutech-pest-wildlife-control-inc/about/,,https://www.instagram.com/trutech_pest_wildlife_control/,"Pest Control Services",yellowpages-ca,1,0,0
New,"The Exterminators Inc. Pest Control","740 Broadview Ave, Toronto ON M4K 2P1",https://www.theexterminators.ca/,6474962211,info@theexterminators.ca,,,,,,,,,628,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TheExterminatorsInc/,,https://www.linkedin.com/company/the-exterminators-inc.,,,,bing,1,0,0
New,"SOS Wildlife Control - Raccoon Removal Toronto Junction",,https://www.soswildlifecontrol.com/,16473615166,info@soswildlife.ca,4.2,5,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/pages/SOS-Wildlife-Control/570891296264757?ref=tn_tnmn,https://twitter.com/soswildlife1,https://www.linkedin.com/company/sos-wildlife-control/,https://www.youtube.com/channel/UCj0nP_7GC8MkvkCuc6WyrDA,,"Pest control service",google,1,0,0
New,Rentokil,"99 Locke St Unit 1, Concord, ON L4K 0J2, Canada",https://www.rentokil.com/ca/about-rentokil/local-branches/toronto-on%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Deg_listing_lg,16479050055,rentokil.com-admin@anonymised.email,4.8,1117,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/rentokil-na,,,"Pest control service",google,1,0,0
,"Quality Affordable Pest Control Toronto","350 Bay St., Toronto, ON M5H 2S6, Canada",http://qualityaffordablepestcontrol.ca,16475023950,contact@qualityaffordablepestcontrol.ca,4.9,284,,,,,152,,148,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/qapcservices/,,,,,"Pest control service",google,1,1,0
,"Quality Affordable Pest Control Pickering",,https://www.qualityaffordablepestcontrol.ca/locations/pest-control-pickering/,16475023950,qualityaffordablepestcontrol@gmail.com,4.8,103,,,,,,,148,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/qapcservices/,,,,,"Pest control service",google,1,0,0
,"Quest Pest Management Inc.","639 Dupont St, Toronto ON M6G 1Z4",https://www.qpm.ca/,4163215060,askntell@qpm.ca,5,8,,,,,,,704,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/QuestPestManagement,https://twitter.com/qpm_ca,https://www.linkedin.com/company/quest-pest-management-inc,https://www.youtube.com/user/questPestManagement,https://www.instagram.com/questpestmanagement/,,bing,1,0,0
,"Provincial Pest Control Toronto","940 College St Unit 1, Toronto, ON M6H 1A5, Canada",https://www.provincialpestcontrol.ca/locations/pest-control-toronto/,16472247378,service@provincialpestcontrol.ca,4.931,312,,,,,261,4,261,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/ProvincialPestControl,https://twitter.com/toronto_pest,https://www.linkedin.com/company/provincialpestcontrol,https://www.youtube.com/playlist?list=PLzjFDuknUPOEOy1san3XBLWKOI-efS4fX,https://www.instagram.com/provincialpestcontrol/,"Pest control service in Toronto, Ontario",google-places,1,0,0
,"Pigeon Tom","1802-3230 Yonge St, Toronto, ON M4N 2L4",https://www.pigeontom.ca/,4168403689,customerservice@pigeontom.ca,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/pigeontom/,,https://www.linkedin.com/company/pigeon-tom,,https://www.instagram.com/pigeontom/?hl=en,"Bird Repellents, Barriers & Controls",yellowpages-ca,1,0,0
New,"PESTZONE PEST CONTROL","Private Address in Toronto, ON",https://www.pestzone.ca/,4164024110,,,,,,,,,,44,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/pestzonepestcontrol/,,,,,,bing,1,0,0
